SMILES,Surfactant_Type,CMC,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,C20,Temp_Celsius,Ref_CMC,Ref_AW_ST_CMC,SubRef_CMC,SubRef_AW_ST_CMC,Ref_Gamma_max,Ref_Pi_CMC,Ref_Area_min,Ref_pC20,Ref_C20
CCCCCCCCNC(=O)CC[N+](C)(C)CCC(=O)NCCCCCCCC.[Br-],cationic,0.003,2.522878745,25,0.00000339,0.49,47,3.220421984,0.039938201,25,10.1016/j.colsurfa.2015.01.050,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2015.01.050,,,10.1016/j.colsurfa.2015.01.050,calculated,calculated
CCCCCCCCNCC(=O)NCOCC(CO)OCC(O)COCCCCCCCCNCC(=O)NCOCC(CO)OCC(O)COCC,non-ionic,0.00006699,4.173990022,,,,,,,25,10.1021/ie4016232,,,,,,,,
CCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,0.018,1.744727495,28.6,,,43.37,,,25,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,,calculated,,,
CCCCCCCCOC(=O)C([NH3+])CCCNC(N)[NH3+].[Cl-].[Cl-],gemini cationic,0.026,1.585026652,35,0.00000115,0.96,37,2.448138125,0.086454404,25,10.1016/j.crci.2004.02.009,10.1016/j.ces.2022.118208,,10.1016/j.crci.2004.02.009,10.1016/j.crci.2004.02.009,10.1016/j.crci.2004.02.009,10.1016/j.crci.2004.02.009,calculated,calculated
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],anionic,0.00091,3.040958608,,,,,,,25,10.1021/acs.jpcb.1c05264,,10.1002/9781118228920,,,,,,
CCCCCCCC[N+](C)(C)CCNC(=O)CCc1ccc(OC(=O)/C=C/C(=O)Oc2ccc(CCC(=O)NCC[N+](C)(C)CCCCCCCC)cc2)cc1.[Br-].[Br-],gemini cationic,0.00041,3.38721614328026,40.3,0.00000037,,,,,20,10.1002/jsde.12437,10.1002/jsde.12437,,,10.1002/jsde.12437,,,,
CCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCc1ccc(OC(=O)/C=C/C(=O)Oc2ccc(CCC(=O)NCC[N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],gemini cationic,0.00023,3.63827216398241,38.3,0.00000038,,,,,20,10.1002/jsde.12437,10.1002/jsde.12437,,,10.1002/jsde.12437,,,,
CCCCCCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCc1ccc(OC(=O)/C=C/C(=O)Oc2ccc(CCC(=O)NCC[N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],gemini cationic,0.00011,3.95860731484178,37.6,0.00000039,,,,,20,10.1002/jsde.12437,10.1002/jsde.12437,,,10.1002/jsde.12437,,,,
CCCCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCCCC.[Cl-].[Cl-],gemini cationic,,,43,,,,,,,,10.1016/j.ces.2022.118208,,10.1016/j.molliq.2016.05.083,,,,,
CCCCCCCCOC(=O)C[N+](CC)(CC)c1ccc(C=NCCN=Cc2ccc([N+](CC)(CC)CC(=O)OCCCCCCCC)cc2)cc1.[Cl-].[Cl-],gemini cationic,,,39.7,,,,,,,,10.1016/j.ces.2022.118208,,10.1080/01932690903269784,,,,,
CCCCCCCCOC(=O)C[n+]1cccc(N=Cc2ccc(O)c(OC)c2)c1.[Br-],cationic,0.0025,2.602059991,41.3,0.00000096,1.739,30.5,4.173925197,0.000067,25,10.1016/j.colsurfa.2011.09.032,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2011.09.032,10.1016/j.colsurfa.2011.09.032,10.1016/j.colsurfa.2011.09.032,10.1016/j.colsurfa.2011.09.032,,10.1016/j.colsurfa.2011.09.032
CCCCCCCCOC(CO)CO,non-ionic,,,24.7,,,,,,,,10.1016/j.ces.2022.118208,,10.1021/j150575a003,,,,,
CCCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,0.0067,2.173925197,,0.0000034,0.49,,3.4,0.000398107,25,10.1021/acs.iecr.6b02890,,10.1016/j.molliq.2018.01.037,,10.1016/S0378-5173(99)00078-2,,10.1016/S0378-5173(99)00078-2,10.1016/S0378-5173(99)00078-2,
CCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCC.[I-].[I-],gemini cationic,0.00191,2.718966633,31.4,0.00000166,1,40.6,3.72,0.000191,25,10.1016/j.jcis.2014.02.017,10.1016/j.ces.2022.118208,,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017
CCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCC.[I-].[I-],gemini cationic,0.00119,2.924453039,32.2,0.00000119,1.4,39.8,3.64,0.000229,25,10.1016/j.jcis.2014.02.017,10.1016/j.ces.2022.118208,,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017
CCCCCCCCOCC(COCCCCCCCC)(COCCC[N+](C)(C)C)COCCC[N+](C)(C)C.[I-].[I-],gemini cationic,0.00119,2.924453039,36.7,0.00000104,1.6,35.3,3.71,0.000195,25,10.1016/j.jcis.2014.02.017,10.1016/j.ces.2022.118208,,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017
CCCCCCCCOCC(COCCCCCCCC)(COCC[N+](C)(C)C)COCC[N+](C)(C)C.[I-].[I-],gemini cationic,0.00199,2.701146924,31.4,0.00000166,1,40.6,3.63,0.000234,25,10.1016/j.jcis.2014.02.017,10.1016/j.ces.2022.118208,,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017
CCCCCCCCOCC(COCCCCCCCC)(C[N+](C)(C)C)C[N+](C)(C)C.[I-].[I-],gemini cationic,0.00192,2.716698771,40.9,0.00000111,1.5,31.1,3.37,0.000427,25,10.1016/j.jcis.2014.02.017,10.1016/j.ces.2022.118208,,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017,10.1016/j.jcis.2014.02.017
CCCCCCCCOCC(O)CO,non-ionic,0.005794,2.237021509,,,,,,,25,10.1021/ie4016232,,,,,,,,
